NO,폐교명,주소,위도,경도,음식점 수,편의점 수,카페 수,병원 수,주유소/충전소 수,숙박시설 수
57,과역동초백일분교장,전라남도 고흥군 과역면 백일리 산908,34.6994388,127.4261435,0,0,0,0,0,3
58,나로고등학교,전라남도 고흥군 봉래면 신금리 838,34.4675805,127.4602077,35,3,7,1,1,26
59,동강초매곡분교장,전라남도 고흥군 동강면 매곡리 413,34.8020544,127.3390158,27,2,6,3,1,2
60,포두초포두동분교장,전라남도 고흥군 포두면 차동리 1183,34.5409855,127.3565429,5,0,3,0,2,1
61,흥양초등학교,전라남도 고흥군 도화면 신호리 287-1,34.5297809,127.3026527,32,2,4,1,1,2
62,대서서초등학교,전라남도 고흥군 대서면 남정리 550,34.7740034,127.2582777,5,0,0,0,1,2
63,남성초등학교,전라남도 고흥군 포두면 남성리 461,34.525637,127.40884,1,0,1,0,0,7
64,두원북초등학교,전라남도 고흥군 두원면 용당리 233,34.6905866,127.2610854,4,0,0,0,0,4
65,두원중학교,전라남도 고흥군 두원면 대금리 242,34.6786853,127.2604854,1,0,1,0,0,2
66,풍양초매곡분교장,전라남도 고흥군 풍양면 매곡리 638-11,34.5386928,127.21531,1,0,0,0,0,1
67,대서초안남분교장,전라남도 고흥군 대서면 안남리 626,34.7497724,127.2709794,6,0,0,0,0,2
68,금산종합고등학교,전라남도 고흥군 금산면 대흥리 1176,34.466798,127.1300601,27,2,3,0,2,9
69,화계초여주분교장,전라남도 고흥군 점암면 여호리 244,34.6512921,127.4458603,0,0,0,0,0,3
70,노동초금호분교장,전라남도 보성군 노동면 금호리 598,34.800759,127.0270834,2,0,0,0,0,2
71,겸백초은덕분교장,전라남도 보성군 겸백면 은덕리 19,34.8536266,127.1469591,3,0,2,0,0,0
72,득량서초등학교,전라남도 보성군 득량면 마천리 743-1,34.7520937,127.1459071,13,0,2,0,2,0
73,장암초등학교,전라남도 보성군 벌교읍 장암리 710-1,34.8051222,127.4041032,0,0,1,0,0,5
74,노동초학동분교장,전라남도 보성군 노동면 학동리 501,34.8331135,127.0721363,2,0,1,0,0,3
75,영등초등학교,전라남도 보성군 벌교읍 영등리 726,34.8091519,127.3774944,2,0,0,0,0,4
76,회천동초등학교,전라남도 보성군 회천면 서당리 659,34.7045926,127.1348867,1,0,0,0,1,3
77,벌교초제석분교장,전라남도 보성군 벌교읍 장양리 793,34.846909,127.3645746,45,11,32,18,10,16
78,회천서초등학교,전라남도 보성군 회천면 회령리 514,34.6713879,127.0637331,45,2,8,0,3,29
79,벌교초장도분교장,전라남도 보성군 벌교읍 장도리 354,34.7910857,127.4554567,1,0,0,0,0,0
80,아산초서유분교장,전라남도 화순군 백아면 서유리 526,35.1731031,127.0922181,11,1,0,0,1,6
81,동면초경복분교장,전라남도 화순군 동면 복암리 166,35.0527649,127.0863663,3,0,2,0,1,2
82,화순오성초주도분교장,전라남도 화순군 화순읍 주도리 20,35.0330097,126.9373571,45,3,23,2,8,13
83,천태초봉하분교장,전라남도 화순군 도암면 봉하리 200,34.8864172,126.860109,7,0,0,0,1,0
84,동복초가수분교장,전라남도 화순군 동복면 가수리 861,35.09987,127.1423177,0,0,0,0,0,2
85,아산초노치분교장,전라남도 화순군 백아면 노치리 272,35.1460685,127.174314,5,0,0,0,0,5
86,동면초옥호분교장,전라남도 화순군 동면 옥호리 338,34.9992251,127.0178152,2,0,4,0,0,1
87,아산초송방분교장,전라남도 화순군 백아면 방리 385,35.1897903,127.1690599,1,0,1,0,0,2
88,청풍초신석분교장,전라남도 화순군 청풍면 신석리 457,34.8559806,126.9406228,2,0,0,0,0,2
89,관산초영성분교장,"전라남도 장흥군 관산읍 죽청리 420-1,418-1, 418-3,418-4",34.5802354,126.9673692,10,0,0,0,2,0
90,강진북초등학교,전라남도 강진군 강진읍 서산리 252-10,34.641568,126.7339192,45,2,11,3,6,3
91,군곡초등학교,전라남도 해남군 송지면 군곡리 435,34.4116331,126.5307407,1,0,0,0,1,0
92,화원초화봉분교장,전라남도 해남군 화원면 화봉리 226,34.6683144,126.2691306,0,1,0,0,0,3
93,서호북초등학교,전라남도 영암군 서호면 성재리 1058,34.7961453,126.5798958,0,0,1,0,0,0
94,신북초신북서분교장,전라남도 영암군 신북면 학동리 468,34.9287008,126.6790091,6,1,2,0,1,4
95,시종초종남분교장,전라남도 영암군 시종면 금지리 1078,34.8984217,126.6085955,0,0,0,0,0,0
96,도포초도신분교장,전라남도 영암군 도포면 영호리 194,34.8651033,126.6537301,5,0,0,0,1,0
97,금정초한대분교장,전라남도 영암군 영암읍 한대리 2,34.8032313,126.7977807,2,0,0,0,0,0
98,금정초청룡분교장,전라남도 영암군 금정면 청용리 899,34.8625401,126.8268197,0,0,0,0,0,0
99,도포초영농분교장,전라남도 영암군 도포면 영호리 919-10,34.8713217,126.6474441,6,0,0,0,0,0
100,영암미암중학교,전라남도 영암군 미암면 남신리 239-1,34.6943073,126.5587584,5,0,2,0,1,0
101,해제동초등학교,전라남도 무안군 해제면 유월리 561,35.1130643,126.3177624,45,2,8,4,2,8
102,일로초지감분교장,전라남도 무안군 일로읍 감돈리 299,34.8696185,126.475232,45,4,16,4,3,5
103,성남초등학교,전라남도 함평군 함평읍 성남리 215,35.0382357,126.4885273,4,0,2,0,4,2
104,대동향교초동암분교장,전라남도 함평군 대동면 월송리 424,35.0845862,126.5606357,11,0,3,0,1,4
105,손불초용암분교장,전라남도 함평군 손불면 죽암리 709,35.1310491,126.4742833,2,1,1,0,2,2
106,대동향교초대신분교장,전라남도 함평군 대동면 금산리 422-7,35.1236302,126.4944232,3,1,1,0,2,4
107,영창초등학교,전라남도 함평군 학교면 사거리 172,35.0317278,126.5352049,34,1,13,5,7,4
108,법성중안마분교장,전라남도 영광군 낙월면 월촌리 산313-3,35.3459214,126.0250499,1,0,0,0,0,2
109,염산초야월분교장,전라남도 영광군 염산면 야월리 300,35.2298642,126.3190472,1,0,0,0,1,2
110,영광서초등학교,전라남도 영광군 영광읍 계송리 667,35.3005717,126.5201877,45,8,29,11,7,6
111,법성포초안마분교장,전라남도 영광군 낙월면 월촌리 산323,35.3452422,126.0255604,1,0,0,0,0,2
112,사창초능성분교장,전라남도 장성군 삼계면 능성리 599-1,35.26679,126.6986232,45,5,9,2,2,3
113,삼서남초등학교,전라남도 장성군 삼서면 석마리 661-4,35.2065748,126.6659242,2,0,2,0,2,1
114,장성신흥중학교,전라남도 장성군 북일면 성덕리 36,35.3860476,126.7927067,15,1,4,0,4,8
115,오송초등학교,전라남도 진도군 지산면 오류리 616-4,34.4128712,126.1450284,13,2,1,1,1,1
116,조도초맹골분교장,전라남도 진도군 조도면 맹골도 리 74-1,34.2165064,125.853778,0,0,0,0,0,1
117,조도초소죽도분교장,전라남도 진도군 조도면 서거차 도리 150,34.2957192,126.0557114,13,1,2,2,1,9
118,지산서초등학교,전라남도 진도군 지산면 가치리 904-3,34.4344433,126.122423,1,0,2,0,0,13
119,석교초용등분교장,전라남도 진도군 임회면 백동리 633,34.3798335,126.1905884,4,0,0,0,0,5
120,의동초등학교,전라남도 진도군 의신면 초사리 102,34.42223,126.3335982,40,3,8,0,0,7
121,안좌초등학교자라분교장,전라남도 신안군 안좌면 자라리 227,34.6883232,126.1699439,1,0,0,0,0,2
