NO,폐교명,주소,위도,경도,건물규모,토지규모,총 금액,현재 상태,음식점 수,편의점 수,카페 수,병원 수,주유소 수,숙박시설 수,음식점 점수,편의점 점수,카페 점수,병원 점수,주유소 점수,숙박시설 점수,총 점수,점수 순위
36,주암초어왕분교장,전라남도 순천시 주암면 어왕리 1,35.0975197,127.2370416,979.5,8265.86,220421,미활용,34,3,2,2,0,3,102,104,62,99,1,50,418,33
37,승주초죽학분교장,전라남도 순천시 승주읍 죽학리 71-4,34.9907378,127.3626084,648.5,3847,224629,대부,22,0,1,0,0,17,92,1,47,1,1,105,247,57
38,황전초회덕분교장,전라남도 순천시 황전면 회룡리 756,35.1085222,127.4951132,705.7,15012.84,355149,미활용,0,0,0,0,0,0,1,1,1,1,1,1,6,119
39,다도초덕림분교장,전라남도 나주시 다도면 덕림리 536,34.8954416,126.8292183,0,2742,12312,미활용,1,0,0,0,0,0,15,1,1,1,1,1,20,116
40,다시초국동분교장,전라남도 나주시 문평면 국동리 678,35.0717654,126.6516262,75,11113,55218,미활용,1,0,0,0,0,1,15,1,1,1,1,19,38,108
41,문평남초등학교,전라남도 나주시 문평면 옥당리 1119,35.0298092,126.6108903,2134.59,16909,1178188,미활용,23,2,6,6,4,1,94,94,98,117,107,19,529,19
42,다시남초등학교,전라남도 나주시 다시면 문동리 654,34.9950455,126.6194014,1234,20075,196997,미활용,12,0,3,3,0,6,82,1,77,106,1,77,344,41
43,나주초이화분교장,전라남도 나주시 토계동 318,35.0201223,126.7294523,1751.87,14268,880217,미활용,452,27,113,49,6,49,121,121,121,121,113,118,715,1
44,남평동초등학교,전라남도 나주시 남평읍 우산리 984,34.9914216,126.8815305,1058,13474,257896,대부,19,1,5,0,1,6,90,73,96,1,68,77,405,34
45,공산고등학교,전라남도 나주시 공산면 금곡리 819-4,34.9418655,126.6182125,3056.26,15210,1768283,대부,17,1,1,5,1,0,88,73,47,115,68,1,392,37
46,진상초황죽분교장,전라남도 광양시 진상면 황죽리 250-18,35.0528188,127.6880778,796.25,6743.2,310652,대부,4,0,0,0,0,27,50,1,1,1,1,110,164,69
47,고서초주산분교장,전라남도 담양군 고서면 주산리 516,35.2364268,126.954527,0,14151,616983,미활용,48,1,12,2,5,2,110,73,108,99,111,32,533,18
48,남면초인암분교장,전라남도 담양군 남면 인암리 238,35.143818,127.0616379,976.51,11402,642139,대부,8,0,1,1,2,4,72,1,47,89,88,62,359,39
49,만덕초용산분교장,전라남도 담양군 대덕면 갈전리 687,35.1986436,127.0929926,738.2,8793.8,263916,미활용,5,0,0,0,0,6,57,1,1,1,1,77,138,76
